Task,Phrase,Score,Description
Controlling the quantity - Pipeline,verified flow,76.06666666666666,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,primary gauging,74.5,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,tertiary gauging,73.0,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,post-gauging,69.5,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,verified metering device,68.66666666666667,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,pre-gauging,67.0,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,product quantity,66.95,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,standard iso,66.0,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,gauge system,61.416666666666664,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,transport mean,55.0,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,accounting,53.0,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,liquid level gauge,52.58333333333333,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
Controlling the quantity - Pipeline,received stock,52.5,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
"
